user_id,synch,asynch,upqa,tpqa,is_lira,course_id,tqc_fa,eqc_fa,eqc_fa_sr,tq_fa_sr,rc
58783,1,80,81,218,0,4,41,11,0.7333333333333333,0.8367346938775511,0
58784,3,78,81,151,0,4,43,11,0.7333333333333333,0.7678571428571429,0
58834,5,76,81,127,0,4,55,13,0.8666666666666667,0.9821428571428572,1
58840,0,54,54,131,1,5,15,3,0.75,0.5,0
58842,6,3,9,12,1,5,0,0,0,0,0
58849,0,21,21,38,1,5,0,0,0,0,0
58875,0,0,0,0,0,4,12,0,0,0.75,0
58891,5,70,75,262,0,4,39,0,0,0.7959183673469388,0
58897,0,7,7,7,0,4,0,0,0,0,0
58915,0,0,0,0,1,5,0,0,0,0,0
58931,38,45,83,301,1,5,54,14,0.9333333333333332,0.9642857142857144,1
58940,0,61,61,202,0,4,34,11,0.7333333333333333,0.6071428571428571,0
59008,3,78,81,104,0,4,55,13,0.8666666666666667,0.9821428571428572,1
59019,31,52,83,164,1,5,39,9,0.6,0.78,0
59032,0,5,5,6,0,4,0,0,0,0,0
59049,0,9,9,22,1,5,6,0,0,1,0
59060,5,78,83,177,1,5,46,12,0.8,0.8214285714285714,0
